"","pr.mm.d","srad.w.m2","tmax.c","tmin.c","vp.pa","Q.m3.s","Lagged.Q.m3.s","pr.mm.d_W1","pr.mm.d_W2","pr.mm.d_W3","pr.mm.d_W4","pr.mm.d_V4","srad.w.m2_W1","srad.w.m2_W2","srad.w.m2_W3","srad.w.m2_W4","srad.w.m2_V4","tmax.c_W1","tmax.c_W2","tmax.c_W3","tmax.c_W4","tmax.c_V4","tmin.c_W1","tmin.c_W2","tmin.c_W3","tmin.c_W4","tmin.c_V4","vp.pa_W1","vp.pa_W2","vp.pa_W3","vp.pa_W4","vp.pa_V4","Q.m3.s_W1","Q.m3.s_W2","Q.m3.s_W3","Q.m3.s_W4","Q.m3.s_V4"
"1",0,483.26,25.53,6.06,939.56,105,95,0,0,0,-0.70625,0.70625,1.745,-13.905,-11.58625,16.529375,490.476875,0.84,-0.1425,-1.61125,0.728125000000002,25.715625,0.44,0.5775,-1.09375,-0.600625,6.736875,26.76,34.6725,-73.28875,-47.761875,999.178125,-2.5,-5,-13.625,-46.0625,172.1875
"2",0,480.06,27.13,7.39,1033.86,100,91,0,0,0,-0.70625,0.70625,-1.59999999999999,-6.20750000000001,-15.4850000000001,15.51375,487.83875,0.799999999999999,0.917499999999999,-1.19625,0.958125000000001,25.650625,0.665,0.94,-0.41375,-0.500624999999999,6.699375,47.15,60.2825,-29.4162499999999,-40.4675,996.31125,-2.5,-5,-11.625,-42.375,161.5
"3",0,476.52,25.02,5.76,921.96,98,87,0,0,0,-0.70625,0.70625,-1.77000000000001,-1.61250000000001,-16.61125,11.021875,485.491875,-1.055,0.692499999999999,-0.655000000000001,0.546875,25.490625,-0.815,0.4775,0.1275,-0.5875,6.5575,-55.9499999999999,32.555,5.93625000000003,-46.750625,986.169375,-1,-4.25,-9.875,-38.9375,152.0625
"4",0,490.86,26.16,5.55,907.93,95,84,0,0,0,-0.620625,0.620625,7.17000000000002,1.01500000000001,-9.27625,-0.983750000000043,492.935,0.57,-0.369999999999999,0.4175,-0.199375,25.741875,-0.105,-0.535,0.5,-0.5525,6.2425,-7.01500000000004,-35.8825,31.0475,-42.675625,962.455625,-1.5,-3,-9,-34.875,143.375
"5",0,487.71,28.07,7.14,1012.83,91,81,0,0,0,-0.620625,0.620625,-1.57500000000002,5.4975,-5.81625,-4.2225,493.82625,0.955,0.520000000000001,0.881249999999998,-0.0868749999999991,25.800625,0.795,-0.115,0.70875,-0.269375000000001,6.020625,52.45,-8.76499999999999,45.50875,-21.1531249999999,944.789375,-2,-3,-8.25,-31.3125,135.5625
"6",0,497.35,31.4,8.74,1139.56,87,77,0,0,0,0,0,4.82000000000002,4.41999999999999,0.121250000000032,-13.076875,501.065625,1.665,2.0725,1.125,0.377500000000001,26.16,0.8,1.1425,0.50625,0.16625,6.125,63.365,80.625,34.57125,8.35562500000003,952.643125,-2,-3.75,-7.375,-26.3125,126.4375
"7",0,480.64,33.43,11.47,1357.79,84,74,0,0,0,0,0,-8.35500000000002,-0.144999999999982,4.61875000000001,-14.408125,498.929375,1.015,2.65,2.19125,0.543749999999999,27.03,1.365,1.88,1.06375,0.428749999999999,6.7325,109.115,144.1475,79.5862499999999,31.1768749999999,993.764375,-1.5,-3.75,-7,-23,119.25
"8",0,458.82,33.89,13.28,1525.89,81,71,0,0,0,0,0,-10.91,-11.4,-0.77249999999998,-15.41625,497.31875,0.23,1.9625,2.86875,1.0725,27.75625,0.904999999999999,2.2175,1.98375,0.975,7.19875,84.0500000000001,182.8225,154.095,73.6062499999999,1031.31625,-1.5,-3.25,-6.875,-20.5625,113.1875
"9",0,483.49,31.93,9.91,1233.19,77,69,0,0,0,0,0,12.335,-8.92000000000002,-1.85624999999999,-12.5375,494.46875,-0.98,0.247499999999999,3.03375,1.5925,28.03625,-1.685,0.744999999999999,2.195,1.259375,7.395625,-146.35,65.4325,172.48125,95.105,1046.52125,-2,-3.25,-6.875,-18.5,107.625
"10",0,498.2,28.49,5.99,933.12,74,69,0,0,0,0,0,7.35499999999999,10.5575,-3.91125,-9.576875,493.775625,-1.72,-1.725,2.13625,1.595,28.20375,-1.96,-2.2125,1.6825,1.140625,7.339375,-150.035,-179.3425,133.46375,86.595,1042.43875,-1.5,-3.5,-6.875,-16.625,102.5
"11",0,500.46,28.17,5.29,891.62,71,66,0,0,0,0,0,1.13,14.0875,-1.94875000000002,-4.66125,491.8525,-0.159999999999998,-2.29,0.427499999999998,2.0775,28.115,-0.35,-2.9775,0.19625,1.225625,7.195625,-20.75,-233.585,20.71375,92.91125,1032.33,-1.5,-3.25,-6.75,-15.3125,97.8125
"12",0,466.78,23.84,4,819.2,69,65,0,0,0,0,0,-16.84,-3.61250000000001,3.05125000000001,-3.88499999999999,488.06625,-2.165,-2.1025,-1.795,2.18,27.7225,-0.645,-1.6525,-1.93,1.26875,6.95875,-36.21,-113.8725,-144.8675,97.1850000000001,1016.965,-1,-2.75,-6.5,-14.625,93.875
"13",0,443.5,25.76,6.98,1005.47,69,63,0,0,0,0,0,-11.64,-22.095,-1.41999999999999,-5.47437500000001,484.129375,0.960000000000001,-1.765,-3.04875,1.95,27.66375,1.49,-0.0750000000000002,-2.6425,1.228125,6.979375,93.135,-0.0174999999999841,-200.8775,94.796875,1018.433125,0,-1.75,-5.75,-13.875,90.375
